date,text,likes,retweets,link
2019-01-23,"Reunião Bilateral com o Presidente da Suíça, Ueli Maurer. Aproveitei a oportunidade para agradecer o acolhimento que recebemos de seu belo país. 🇧🇷🤝🇨🇭 https://t.co/xH1RDYJAI1",2292,334,https://twitter.com/jairbolsonaro/status/1088132544397217794
2019-01-23,"RT @pauloap: Hoje o Presidente Bolsonaro encontrou o  Ex-Primeiro Ministro do Reino Unido Tony Blair
tem varias fotos no Flickr da Presidê…",0,150,https://twitter.com/jairbolsonaro/status/1088129499848425472
2019-01-23,"RT @BolsonaroSP: Por isso Chávez desarmou a população venezuelana com a ajuda do Viva Rio...
https://t.co/1ycDlxXiEn https://t.co/KgUQmdOuUM",0,481,https://twitter.com/jairbolsonaro/status/1088118114104025089
2019-01-23,Reunião com o Premiê Japonês. Estive em visita no Japão e sabemos das dificuldades dos brasileiros naquele país. Expondo estas e nos aproximando de países que podem muito fortalecer um processo econômico e social de bilateralidade seguimos evoluindo. https://t.co/nXGSu71L1C,812,119,https://twitter.com/jairbolsonaro/status/1088115880834355208
2019-01-23,"Nos governos anteriores, esses gastos ultrapassavam centenas de milhões. Era mais uma das muitas fontes de ações escusas dos grupos que estavam no poder, cuja boa parte dos membros está presa. Uma irresponsabilidade em detrimento das reais demandas dos brasileiros e do Estado!",2421,420,https://twitter.com/jairbolsonaro/status/1088048698578423808
2019-01-23,"O Ministro da Secretaria de Governo, General Santos Cruz, anunciou o fim do contrato de R$30 milhões/ano com assessoria de imprensa internacional. Além disso, zeramos os custos com propaganda da Caixa e BB neste início de governo e pretendemos encerrar de maneira justa e enxuta!",3801,731,https://twitter.com/jairbolsonaro/status/1088048586657595393
2019-01-23,"@toledo99363707 Bom dia, Hannah! 👍🏻🌷!",76,2,https://twitter.com/jairbolsonaro/status/1088030569114537984
2019-01-23,@Ana12566224 Bom Dia 👍🏻!,76,2,https://twitter.com/jairbolsonaro/status/1088030386096091136
2019-01-23,🇧🇷☝🏻👉🏻👉🏻 https://t.co/egseLlTBUD,1807,230,https://twitter.com/jairbolsonaro/status/1088029287721119744
2019-01-23,Seguimos nossa intensa agenda em Davos. Agora em entrevista para a Bloomberg. Um bom dia a todos! 👍🏻 https://t.co/0NbDPa1jKl,591,88,https://twitter.com/jairbolsonaro/status/1088002218798825472
2019-01-23,"RT @xicograziano: Curto e grosso, o discurso de @jairbolsonaro em Davos não agradou àqueles que adoram falas rebuscadas. Lembro que em 2010…",0,2279,https://twitter.com/jairbolsonaro/status/1087998217902538752
2019-01-23,"RT @lsentoes: Como a mesma jornalista pode gerar matérias tão diferentes? Deixo  pra vocês tirarem as conclusões. 
Link PT: https://t.co/8…",0,2086,https://twitter.com/jairbolsonaro/status/1087996361621102592
2019-01-23,Pequeno resumo do nosso dia em Davos (22/01) 👍: https://t.co/nGnlwSQ9vh,3992,758,https://twitter.com/jairbolsonaro/status/1087872208997879814
2019-01-22,Bolsonaro usando sua arma mortal que deixa a “imprensa” aterrorizada! 😂😂😂 https://t.co/WGvPqg2G0S,3720,687,https://twitter.com/jairbolsonaro/status/1087860843369381894
2019-01-22,"Agradeço o jantar oferecido em nome de nosso time. Diante da gentileza dos empresários em Davos, pude proferir algumas palavras. Muito obrigado a todos os senhores pela consideração. https://t.co/sNMMDcb81c",3551,570,https://twitter.com/jairbolsonaro/status/1087849784080322560
2019-01-22,"RT @foIha_sp: Bolsonaro demora 5 minutos pra decidir se pegaria batata frita ou purê de batata. ""Não consegue decidir o que vai comer, imag…",0,471,https://twitter.com/jairbolsonaro/status/1087843936528420864
2019-01-22,"Há pouco participamos de jantar com grandes líderes empresariais e chefes de estado a convite do Presidente do Fórum Econômico Mundial, Professor Schwab. Uma enorme satisfação partilhar este momento e dividir experiências!",3646,517,https://twitter.com/jairbolsonaro/status/1087830311818399745
2019-01-22,🌷 https://t.co/S7GTxbo8Kn,2617,283,https://twitter.com/jairbolsonaro/status/1087782172168196098
2019-01-22,Reunião do Conselho Internacional de Negócios. https://t.co/Ip3BJccXL5,2264,338,https://twitter.com/jairbolsonaro/status/1087762533052747776
2019-01-22,"RT @odiodobem: 23h59
00h01 https://t.co/S0tuqfULKE",0,865,https://twitter.com/jairbolsonaro/status/1087761238237556736
2019-01-22,"Tive a satisfação de realizar o discurso de abertura do Fórum Econômico Mundial, em Davos, na Suíca. Sendo o 1º presidente do hemisfério sul, 1º da América Latina e 1º fora do G7 a abrir o evento. Muito obrigado a todos. https://t.co/8y32Yp9kmy",4334,784,https://twitter.com/jairbolsonaro/status/1087728960195182594
2019-01-22,"Ministros e de outros representantes do governo estão percorrendo o Brasil nestes primeiros dias para mapear e procuramos sanar muitos problemas de responsabilidade da administração pública e como derivaremos nos próximos passos, como mostrados neste e em tweets anteriores! 🇧🇷 https://t.co/iraxD4ehd5",2069,355,https://twitter.com/jairbolsonaro/status/1087676206802194432
2019-01-22,RT @CarlosBolsonaro: Sucesso na missão!!! https://t.co/P0cxbQwrZg,0,268,https://twitter.com/jairbolsonaro/status/1087672036674154498
2019-01-22,"RT @filgmartin: 1. Ao escolher o Fórum Econômico Mundial em Davos como seu primeiro destino internacional, o Presidente @jairbolsonaro demo…",0,119,https://twitter.com/jairbolsonaro/status/1087644767079616512
2019-01-22,"RT @BolsonaroSP: A primeira surda a ocupar um cargo no Min. Direitos Humanos, bilíngue e vinda de uma família de surdos geneticamente... E…",0,1198,https://twitter.com/jairbolsonaro/status/1087514224962797570
2019-01-22,RT @sensoinc: Estadão diz que bolsonaristas perderam fôlego nas redes e hashtag #EstadaoFakeNews fica em primeiro lugar no Twitter: https:/…,0,809,https://twitter.com/jairbolsonaro/status/1087509927797624832
2019-01-22,"Chegada no início da tarde de hoje. Nossa agenda se inicia na manhã desta Terça, 22/01. 🇧🇷🇨🇭🌍 https://t.co/WojKUZkZcW",5350,616,https://twitter.com/jairbolsonaro/status/1087509643264491521
2019-01-21,RT @BolsonaroSP: Audiência de custódia foi implementada no Brasil por recomendação da ONU - pessoas que nunca moraram aqui.Por terem feito…,0,942,https://twitter.com/jairbolsonaro/status/1087455264771575809
2019-01-21,"Chegamos há pouco em Davos, Suíça. As expectativas são as melhores! Uma boa tarde a todos! 👍🇧🇷🌎 https://t.co/WJLwUg8oh5",2589,396,https://twitter.com/jairbolsonaro/status/1087390207958282241
2019-01-21,"RT @odiodobem2: Quando meu perfil faz as denuncias e mostra isso diariamente dai vira ""brincadeira"", mas quando é da patota delas vira amea…",0,335,https://twitter.com/jairbolsonaro/status/1087351617123438592
2019-01-21,Tudo bem por aqui! Obrigado pela força! Um grande abraço! 👍🏻 https://t.co/85qLfc3r6V,3745,553,https://twitter.com/jairbolsonaro/status/1087305599178760192
2019-01-21,A Caixa Econômica Federal em Roraima. Nossos índios se integrando à sociedade. A CEF é de todos. https://t.co/oKzoGqYyiL,457,72,https://twitter.com/jairbolsonaro/status/1087258822379560960
2019-01-20,"@loen2019 Assim você me quebra, Loen! Forte abraço! 👍🏻",1176,166,https://twitter.com/jairbolsonaro/status/1087122582388781062
2019-01-20,"@silvioluiz Forte abraço e olho no lance, Grande Silvio Luiz! 👍🏻",259,29,https://twitter.com/jairbolsonaro/status/1087120820957253633
2019-01-20,"Em alguns instantes embarco para nossa primeira missão fora do país. Um grande momento para o Brasil que almejamos: grande, respeitado e próspero. Que Deus nos abençoe nessa viagem! Uma boa noite a todos! 👍🏻🇧🇷✈️🇨🇭🌎",5823,761,https://twitter.com/jairbolsonaro/status/1087120078561337344
2019-01-20,RT @CarlosBolsonaro: Entende o desespero? E olha que o General só está falando da SECOM! https://t.co/NevOiY6LXw,0,1017,https://twitter.com/jairbolsonaro/status/1087095631020199936
2019-01-20,Obrigado pela homenagem! 👍🏻 https://t.co/5VzKs4p6Nt,2421,438,https://twitter.com/jairbolsonaro/status/1087082937667993602
